_NAME_;_LINK_
Углошлифовальная машина Зубр МАСТЕР УШМ-230-2100 ПМ3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/zubr/ugloshlifovalnaya_mashina_zubr_master_ushm-230-2100_pm3/
Угловая шлифмашина AEG WS12-125S 4935451306;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws12-125s-4935451306/
Угловая шлифмашина AEG WS8-115S 4935451293;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws8-115s-4935451293/
Углошлифовальная машина ЗУБР Профессионал УШМ-П125-1500 ЭПСТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/professional-ushm-125-mm-1500-vt-ushm-p125-1500-epst/
Углошлифовальная машина ЗУБР ПРОФЕССИОНАЛ УШМ-П125-1200 ЭПСТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/professional-ushm-p125-1200-epst/
Угловая шлифмашина AEG WS 22-230 DMS 4935431730;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws-22-230-dms-4935431730/
Угловая шлифмашина AEG WS24-230GEV 4935431765;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/aeg/ws24-230gev_431765/
Углошлифмашина Ryobi RAG1010-125SF 5133002497;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/ugloshlifmashina-ryobi-rag1010-125sf/
Угловая шлифмашина AEG WS 8-125 4935451402;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/aeg/uglovaya_shlifmashina_aeg_ws_8-125_451402/
Угловая шлифмашина AEG WS10-125SK 4935451303;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/v-kejse-ws10-125sk-4935451303/
Углошлифовальная машина Зубр Профессионал УШМ-П125-1400 ЭПСТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/zubr/ugloshlifovalnaya_mashina_zubr_professional_ushm-p125-1400_epst/
Углошлифовальная машина Ryobi EAG2000RS 5133000550;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/eag2000rs-3000550/
Угловая шлифмашина Stanley SG7125-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sg7125-ru/
Угловая шлифмашина AEG WS10-125S 4935451302;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws10-125s/
Углошлифовальная машина AEG WS7-115S 4935459639;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ugloshlifovalnaya-ws7-115s-4935459639/
Угловая шлифовальная машинка ЗУБР УШМ-П125-1400 ПСТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-p125-1400-pst/
Углошлифовальная машина ЗУБР ПРОФЕССИОНАЛ УШМ-П150-1400 В;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/professional-ushm-p150-1400-v/
Углошлифовальная машина DEKO DKAG1400W 063-2201;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/dkag1400w063-2201/
Углошлифовальная машина ЗУБР МАСТЕР УШМ-230-2300 ПМ3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/master-ushm-230-2300-pm3/
Угловая шлифмашина Bosch GWS 26-230 H 0601856100;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/ushm-gws-26-230-h-0601856100/
Углошлифовальная машина Зубр ПРОФЕССИОНАЛ УШМ-П230-2600 ПВСТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/zubr/ugloshlifovalnaya_mashina_zubr_professional_ushm-p230-2600_pvst/
Углошлифовальная машина ЗУБР ПРОФЕССИОНАЛ УШМ-П180-2100 ПВ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/professional-ushm-p180-2100-pv/
Углошлифовальная машина Bosch GWS 2200 диаметр диска 230мм 06018C10R0;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/gws-2200-06018c10r0/
Углошлифовальная машина DEKO DKAG1000 063-4296;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/063-4296/
Угловая шлифмашина Metabo W 650-125 603602010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/w-650-125-603602010/
Сетевая углошлифовальная машина BOSCH GWS 2200-230 RSP 06018C1320;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/gws-2200-230-rsp-06018c1320/
Угловая шлифмашина Stanley STGS9125;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/stanley/uglovaya_shlifmashina_stanley_stgs9125/
Углошлифовальная машина BOSCH GWS 24-230 06018C3000;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/gws-24-230-06018c3000/
Угловая шлифмашина AEG WS8-125S 4935451296;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws8-125s-4935451296/
Угловая шлифмашина AEG WS24-230GV DMS 4935431775;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/aeg/ws24-230gv_dms_431775/
Углошлифмашина Ryobi EAG2000-G 5133002193;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/ugloshlifmashina-ryobi-eag2000-g/
Болгарка (УШМ) Sturm AG9012T;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ag9012t/
Угловая шлифмашина Stanley SL229-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sl229-ru/
Угловая шлифмашина AEG WS8-125SK 4935451298;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/v-kejse-ws8-125sk-4935451298/
Угловая шлифмашина METABO W 750-125 603605010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/w-750-125-603605010/
Угловая шлифмашина AEG WS 2200-180 DMS 4935428490;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws-2200-180-dms-4935428490/
Углошлифовальная машина DEKO DKAG1500-150063-4299;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/deko-ugloshlifovalnaya-mashina-ushm-dkag1500-150-150-mm-1500-vt-s-regulirovkoj-skorosti-063-4299/
Болгарка (УШМ) Ryobi RAG800-125G 5133002491;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/ugloshlifmashina-ryobi-rag800-125g/
Угловая шлифмашина Ryobi RAG800-125S 5133002493;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/uglovaya-shlifmashina-ryobi-rag800-125s/
Углошлифовальная машина ЗУБР 125мм УШМ-125-1200 ЭМ3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-125-1200-em3/
Угловая шлифмашина Зубр ПРОФЕССИОНАЛ УШМ-П230-2100 ПВ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/uglovaya-shlifmashina-zubr-professional-ushm-p230-2100-pv/
Углошлифовальная машина 150 мм, 1400 Вт ЗУБР УШМ-150-1400 М3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/master-ushm-150-1400-m3/
Углошлифовальная машина ЗУБР 125 мм, 1100 Вт УШМ-125-1105 ЭТ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-125-mm-1100-vt-ushm-125-1105-et/
Угловая сетевая шлифмашина DEKO DKAG850 063-2204;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/uglovaya-setevaya-shlifmashina-deko-dkag850063-2204/
Углошлифовальная машина Sturm AG9514E;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ugloshlifovalnaya_mashina_sturm_ag9514e/
Угловая шлифмашина Sturm AG9012TE;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/sturm/ag9012te/
Угловая сетевая шлифмашина DEKO DKAG1150 063-2205;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/uglovaya-setevaya-shlifmashina-deko-dkag1150-063-2205/
Угловая шлифмашина AEG WS10-115S 4935451300;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/aeg/ws10-115s-4935451300/
Углошлифовальная машина DEKO DKAG650W 063-2200;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/dkag650w063-2200/
Угловая шлифмашина Ryobi RAG950-125S 5133002495;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/rag950-125s/
Углошлифовальная машина ЗУБР Профессионал, 125 мм УШМ-П125-750;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-p125-750/
Угловая шлифовальная машина ЗУБР 125 мм, 1200 Вт УШМ-125-1205 Э;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-125-mm-1200-vt-ushm-125-1205-e/
Углошлифовальная машина Зубр ПРОФЕССИОНАЛ УШМ-П125-850;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/professional-ushm-p125-850/
Углошлифмашина RYOBI 750W RAG750-115G 5133002489;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/ugloshlifmashina-ryobi-750w-rag750-115g/
Угловая шлифмашина Bosch GWS 22-230 LVI 0.601.891.D00;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/bosch_gws_22-230_lvi_0601891d00/
Углошлифмашина Ryobi RAG600-115G 5133002487;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/ugloshlifmashina-ryobi-rag600-115g/
Угловая шлифовальная машина ЗУБР 180 мм, 2000 Вт УШМ-180-2005 П;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-180-mm-2000-vt-ushm-180-2005-p/
Углошлифовальная машина Зубр МАСТЕР УШМ-180-1800 ПМ3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/zubr/_ugloshlifovalnaya_mashina_zubr_master_ushm-180-1800_pm3/
Болгарка (УШМ) Metabo W 9-125 600376010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/uglovaya_shlifmashina_metabo_w_9-125_600376010/
Угловая шлифовальная машина ЗУБР 125 мм, 1000 Вт УШМ-125-1005;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-125-mm-1000-vt-ushm-125-1005/
Углошлифовальная машина ЗУБР МАСТЕР УШМ-230-2600 ПМ3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/master-ushm-230-2600-pm3/
Углошлифовальная машина DEKO DKAG750 063-4165;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/ugloshlifovalnaya-mashina-deko-dkag750-063-4165/
Углошлифовальная машина DEKO DKAG1150, набор дисков 5 шт 063-4288;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/deko-ugloshlifovalnaya-mashina-dkag1150-nabor-diskov-5-sht-063-4288/
Сетевая углошлифовальная машина BOSCH GWS 700 06013A30R0;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/gws-700-06013a30r0/
Углошлифовальная машина ЗУБР 115 мм, 800 Вт УШМ-115-800 М3;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/115-800-m3/
Углошлифовальная машина DEKO DKAG1500, 125 мм, 1500 Вт, 063-4297;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/deko-ugloshlifovalnaya-mashina-ushm-dkag1500-125-mm-1500-vt-s-regulirovkoj-skorosti-063-4297/
Угловая шлифовальная машина ЗУБР 125 мм, 800 Вт УШМ-125-805;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-125-mm-800-vt-ushm-125-805/
Углошлифовальная машина ЗУБР 230 мм, 2200 Вт УШМ-230-2205 П;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-230-mm-2200-vt-ushm-230-2205-p/
Углошлифовальная машина ЗУБР 115 мм УШМ-П115-750;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-p115-750/
Угловая шлифмашина Metabo W 1100-125 603614010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/w-1100-125-603614010/
Угловая шлифовальная машина ЗУБР 230 мм, 2400 Вт УШМ-230-2405 П;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-230-mm-2400-vt-ushm-230-2405-p/
Углошлифовальная машина DEKO DKAG1250 063-4174;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/dkag1250-deko/
Углошлифовальная машина Зубр ПРОФЕССИОНАЛ УШМ-П125-1000;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/zubr/professional-ushm-p125-1000/
Угловая шлифмашина Sturm AG90121P;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/uglovaya_shlifmashina_sturm_ag90121p/
Углошлифмашина Bosch GWS 7-115 0.601.388.106;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ugloshlifmashina-do-1-9-kvt-gws-7-115-0601388106/
Угловая шлифмашина Metabo W 850-125 603608010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/w-850-125-ushm-850vt-125mm-karton-603608010/
Угловая шлифмашина Sturm AG95141P;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/uglovaya_shlifmashina_sturm_ag95141p/
Угловая шлифовальная машина ЗУБР 115 мм, 800 Вт УШМ-115-805;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-115-mm-800-vt-ushm-115-805/
Угловая шлифмашина Sturm AG9011;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ag9011/
Углошлифовальная машина Bosch GWS 9-125 0.601.396.022;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/gws-9-125-0601396022/
Болгарка (УШМ) Sturm AG9023R;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ag9023r/
Углошлифовальная машина DEKO DKAG650W 063-2202;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/dkag650w-063-2202/
Угловая шлифовальная машина ЗУБР 150 мм, 1400 Вт УШМ-150-1405;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-150-mm-1400-vt-ushm-150-1405/
Углошлифовальная машина DEKO DKAG700 063-4243;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/063-4243/
Углошлифовальная машина Sturm AG9012TJ;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/sturm/ag9012tj/
Угловая шлифмашина Ryobi RAG800-115G 5133002518;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/ryobi/rag800-115g-5133002518/
Углошлифовальная машина Sturm AG9018P;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ugloshlifovalnaya_mashina_sturm_ag9018p/
Угловая шлифовальная машина ЗУБР 230 мм, 2600 Вт УШМ-230-2605 П;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/zubr/ushm-230-mm-2600-vt-ushm-230-2605-p/
Углошлифовальная машина DEKO DKAG1700-125 063-4267;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/063-4267/
Угловая шлифмашина Bosch PWS 750-125 06033A240D;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/pws-750-125-06033a240d/
Угловая шлифмашина STURM AG9515E;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ag9515e/
Углошлифовальная машина Sturm AG90112;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/sturm/ugloshlifovalnaya_mashina_sturm_ag90112/
Угловая сетевая шлифмашина DEKO DKAG2450-230, 230 мм, 2450 Вт, 063-4328;https://www.vseinstrumenti.ru/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/bolgarki-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/deko-shlifmashina-uglovaya-setevaya-dkag2450-230-230-mm-2450-vt-plavnyj-pusk-063-4328/
Угловая шлифмашина Stanley SG6125-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sg6125-ru/
Угловая шлифмашина METABO W 2000-230 606430010;https://metabo.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/w-2000-230-606430010/
Угловая шлифмашина Stanley SGV115-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sgv115-ru/
Углошлифмашина Bosch GWX 10-125 06017B3000;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/gwx-10-126-06017b3000/
Угловая шлифмашина Stanley STGS9115;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/stanley/uglovaya_shlifmashina_stanley_stgs9115/
Угловая шлифмашина Bosch GWS 750-125 0.601.394.0R3;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/uglovaya-shlifmashina-bosch-gws-750-125-0-601-394-0r3/
Угловая сетевая шлифмашина DEKO DKAG1850 063-4182;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/063-4182/
Угловая шлифовальная машина Stanley SL209;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/stanley/sl209/
Угловая шлифмашина Stanley SG7125-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/stanley/sg7125-ru/
Угловая шлифмашина Bosch GWS 22-230 JH 0.601.882.203;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/bosch_gws_22-230_jh_0601882203/
Угловая шлифмашина Stanley SG7115-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sg7115-ru/
Углошлифовальная машина DEKO DKAG750 063-4164;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/deko/ugloshlifovalnaya-mashina-deko-dkag750-063-4164/
Угловая шлифмашина Stanley STGS9125D-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/dewalt/ushm-stgs9125-5-krugov-v-komplekte-stgs9125d-ru/
Угловая шлифмашина Stanley SGS105;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/stanley/1050-vt-125-mm-11000-ob-min-2-0-kg-sgs105/
Угловая шлифмашина Bosch GWS 24-230 LVI 0.601.893.F00;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/bosch_gws_24-230_lvi_0601893f00/
Угловая шлифмашина Bosch GWS 26-230 LVI 0.601.895.F04;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/bosch_gws_26-230_lvi_0601895f04/
Угловая шлифмашина Stanley SL229S-RU;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/setevye-uglovye-shlifmashiny-bolgarki/stanley/sl229s-ru/
Угловая шлифмашина Bosch GWS 22-180 LVI 0.601.890.D00;https://bosch.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka_ushm/bosch_gws_22-180_lvi_0601890d00/
Угловая шлифмашина Stanley SGM146;https://www.vseinstrumenti.ru/instrument/shlifmashiny/bolgarka-ushm/stanley/1400-vt-150-mm-9500-ob-min-3-1-kg-sgm146/
